InsightLoop – Feature List,,,,,,,,
MVP feature inventory. “Must/Should” items marked MVP are required for the initial product unless explicitly re-scoped.,,,,,,,,
,,,,,,,,
ID,Module,Feature,Description,Priority,Scope,Primary Actors,Permission Scope,Notes / Business Rules
F-001,Organization & Access,Department isolation,"Partition all accounts, projects, templates, reviews, responses, reports, and recipient lists by department.",Must,MVP,Admin; Unit Admin,Company / Department,No cross-department reads or writes except company-wide Admin governance.
F-002,Organization & Access,User administration,"Create, activate, deactivate, and assign users to a department and base role.",Must,MVP,Admin,Company,Users are internal employees only.
F-003,Organization & Access,Base roles,"Support Admin, Unit Admin, and User roles.",Must,MVP,Admin,Company,"Project Owner is an assignment, not a fourth global role."
F-004,Organization & Access,Audit trail,"Record security, configuration, review, approval, edit, and distribution actions.",Must,MVP,Admin; Unit Admin; Project Owner,Scoped,"Include actor, timestamp, entity, action, and before/after where relevant."
F-005,Account & Project,Account management,Create and maintain accounts within an authorized department.,Must,MVP,Admin; Unit Admin,Department,Admin may act company-wide; Unit Admin only in own department.
F-006,Account & Project,Project management,"Create and edit projects under accounts, including status and review configuration.",Must,MVP,Admin; Unit Admin; Project Owner,Department / Assigned project,Project Owner can edit assigned project information.
F-007,Account & Project,Project Owner assignment,Assign or replace one or more Users as project-level Project Owner.,Must,MVP,Admin; Unit Admin,Project,Assignment grants review-operation permissions only for that project.
F-008,Account & Project,Flexible participant context,"Select participants per review and assign one or multiple project functions (e.g., BA+QA, Dev+TL).",Must,MVP,Project Owner; Unit Admin,Project review,Project teams are not fixed; context is captured at selection time.
F-009,Template Management,Template library,"Create, view, duplicate, edit, archive, and reuse department review templates.",Must,MVP,Admin; Unit Admin,Department,Users may only consume templates through assigned reviews.
F-010,Template Management,Basic templates,Provide company-standard starter templates that departments may copy and adapt.,Should,MVP,Admin publishes; Unit Admin copies,Company to Department,Editing a copy must not change the source.
F-011,Template Management,Question configuration,"Configure evaluation areas, criteria, questions, types, required flags, guidance, and role relevance.",Must,MVP,Admin; Unit Admin,Department,One template serves multiple participant roles.
F-012,Template Management,Template versioning,Create immutable published versions; existing reviews retain the version selected at creation.,Must,MVP,Admin; Unit Admin,Department,Edits create a new draft/version; no retroactive mutation.
F-013,Template Management,Document-to-template generation,Generate an editable review template draft from uploaded PDF or DOCX.,Must,MVP,Admin; Unit Admin,Department,Human review and explicit publish required; retain source metadata.
F-014,Report Template,Report-template management,"Create and maintain structured report layouts, sections, prompts, and scoring display.",Must,MVP,Admin; Unit Admin,Department,Separate from questionnaire template.
F-015,Report Template,Report-template versioning,Publish immutable report-template versions and bind a review to a specific version.,Must,MVP,Admin; Unit Admin,Department,Historical reports remain reproducible.
F-016,Review Setup,Create review,Create an ad-hoc or recurring project-level review from selected template versions.,Must,MVP,Project Owner; Unit Admin,Assigned project / Department,Reporting remains project-level only.
F-017,Review Setup,Recurring schedule,"Configure monthly, quarterly, or custom recurrence with start date and mandatory end date.",Must,MVP,Project Owner; Unit Admin,Project,No open-ended recurrence; future instances stop at end date.
F-018,Review Setup,Review instance generation,"Generate distinct review instances with period, due dates, history, and frozen template references.",Must,MVP,System,Project,Changing a schedule affects future unlaunched instances only.
F-019,Review Setup,Participant selection,Select any number/combination of internal participants and capture role context.,Must,MVP,Project Owner; Unit Admin,Project review,Participant and final-report recipient are separate concepts.
F-020,Review Setup,Recipient selection,Select final-report recipients from internal active users.,Must,MVP,Project Owner; Unit Admin,Project review,External email addresses are prohibited.
F-021,Coverage,AI assignment preview,Optionally preview AI question-to-participant assignment and coverage without blocking normal setup.,Should,MVP,Project Owner; Unit Admin,Project review,No mandatory manual reassignment step.
